,name,country,sport,g_medal,s_medal,b_medal
1878,tobin heath,USA,Football,0,0,1
1879,roos de jong,NED,Rowing,0,0,1
1880,csanad gemesi,HUN,Fencing,0,0,1
1881,hedaya wahba,EGY,Taekwondo,0,0,1
1882,varun kumar,IND,Hockey,0,0,1
1883,leigh howard,AUS,Cycling Track,0,0,1
1884,tsogtbaatar tsend-ochir,MGL,Judo,0,0,1
1885,lucas plapp,AUS,Cycling Track,0,0,1
1886,rayan helal,FRA,Cycling Track,0,0,1
1887,jun mizutani,JPN,Table Tennis,0,0,1
1888,camilla herrem,NOR,Handball,0,0,1
1889,abbey weitzeil,USA,Swimming,0,0,1
1890,johan mieses,DOM,Baseball/Softball,0,0,1
1891,catherine beauchemin-pinard,CAN,Judo,0,0,1
1892,jorge sanchez,MEX,Football,0,0,1
1893,tamas decsi,HUN,Fencing,0,0,1
1894,harriet hudson,AUS,Rowing,0,0,1
1895,tamsin cook,AUS,Swimming,0,0,1
1896,odette giuffrida,ITA,Judo,0,0,1
1897,meerim zhumanazarova,KGZ,Wrestling,0,0,1
1898,martina santandrea,ITA,Rhythmic Gymnastics,0,0,1
1899,megan jastrab,USA,Cycling Track,0,0,1
1900,simranjeet singh,IND,Hockey,0,0,1
1901,denyi reyes,DOM,Baseball/Softball,0,0,1
1902,angelina melnikova,ROC,Artistic Gymnastics,0,0,1
1903,angelina melnikova,ROC,Artistic Gymnastics,0,0,1
1904,anna van der breggen,NED,Cycling Road,0,0,1
1905,elisa longo borghini,ITA,Cycling Road,0,0,1
1906,sifan hassan,NED,Athletics,0,0,1
1907,holly bleasdale-bradshaw,GBR,Athletics,0,0,1
1908,adam botek,SVK,Canoe Sprint,0,0,1
1909,lauriane genest,CAN,Cycling Track,0,0,1
1910,larissa franklin,CAN,Baseball/Softball,0,0,1
1911,jiyeon kim,KOR,Fencing,0,0,1
1912,elijah winnington,AUS,Swimming,0,0,1
1913,carl hester,GBR,Equestrian,0,0,1
1914,tomas walsh,NZL,Athletics,0,0,1
1915,henry martin,MEX,Football,0,0,1
1916,kaylin whitney,USA,Athletics,0,0,1
1917,andrei zamkovoi,ROC,Boxing,0,0,1
1918,sideris tasiadis,GER,Canoe Slalom,0,0,1
1919,eduardo gurbindo martinez,ESP,Handball,0,0,1
1920,aaron chia,MAS,Badminton,0,0,1
1921,mina popovic,SRB,Volleyball,0,0,1
1922,grace balsdon,GBR,Hockey,0,0,1
1923,matyas pasztor,HUN,Water Polo,0,0,1
1924,charles elwes,GBR,Rowing,0,0,1
1925,nicolas mendez,ARG,Volleyball,0,0,1
1926,duop thomas reath,AUS,Basketball,0,0,1
1927,jack cleary,AUS,Rowing,0,0,1
1928,cate campbell,AUS,Swimming,0,0,1
1929,hiroki muto,JPN,Archery,0,0,1
1930,harmanpreet singh,IND,Hockey,0,0,1
1931,kelland o'brien,AUS,Cycling Track,0,0,1
1932,amit rohidas,IND,Hockey,0,0,1
1933,raz hershko,ISR,Judo,0,0,1
1934,frederic vystavel,DEN,Rowing,0,0,1
1935,hannes aigner,GER,Canoe Slalom,0,0,1
1936,mariia novolodskaia,ROC,Cycling Track,0,0,1
1937,hannah martin,GBR,Hockey,0,0,1
1938,nina christen,SUI,Shooting,0,0,1
1939,dejan majstorovic,SRB,3x3 Basketball,0,0,1
1940,linda indergand,SUI,Cycling Mountain Bike,0,0,1
1941,marcus daniell,NZL,Tennis,0,0,1
1942,mikhail artamonov,ROC,Taekwondo,0,0,1
1943,gudaf tsegay,ETH,Athletics,0,0,1
1944,camille lecointre,FRA,Sailing,0,0,1
1945,helena wisniewska,POL,Canoe Sprint,0,0,1
1946,zhiting zhang,CHN,3x3 Basketball,0,0,1
1947,luisa veras stefani,BRA,Tennis,0,0,1
1948,dechang zhang,CHN,Rowing,0,0,1
1949,tamerlan bashaev,ROC,Judo,0,0,1
1950,elina svitolina,UKR,Tennis,0,0,1
1951,agnese duranti,ITA,Rhythmic Gymnastics,0,0,1
1952,viniana riwai,FIJ,Rugby Sevens,0,0,1
1953,alejandra valencia,MEX,Archery,0,0,1
1954,fernando beltran,MEX,Football,0,0,1
1955,tomokazu harimoto,JPN,Table Tennis,0,0,1
1956,guillermo ochoa,MEX,Football,0,0,1
1957,chris goulding,AUS,Basketball,0,0,1
1958,alexander choupenitch,CZE,Fencing,0,0,1
1959,sebastian sole,ARG,Volleyball,0,0,1
1960,kelley ohara,USA,Football,0,0,1
1961,yeldos smetov,KAZ,Judo,0,0,1
1962,liang zhang,CHN,Rowing,0,0,1
1963,abdullah alrashidi,KUW,Shooting,0,0,1
1964,arianna errigo,ITA,Fencing,0,0,1
1965,aidan walsh,IRL,Boxing,0,0,1
1966,roneisha mcgregor,JAM,Athletics,0,0,1
